No   Time    G  PAR    F1   F2   F3   F4   Fm1  Fm2  Fm3  Fm4    Y1   Y2   Y3   Y4
 1 10:35:03  4    8   542  258  426  388  1251  672 1021  939  0.57 0.62 0.58 0.59
 2 10:35:24  4    8   631  311  506  456  1246  668 1016  936  0.49 0.53 0.50 0.51
 3 10:36:04  4    8   641  316  514  464  1284  689 1047  963  0.50 0.54 0.51 0.52
 4 10:38:05  4    8   657  325  526  475  1317  709 1074  986  0.50 0.54 0.51 0.52
 5 10:41:06  4    8   654  324  524  473  1315  707 1072  986  0.50 0.54 0.51 0.52
 6 10:41:26  4  664   913  466  722  666  1205  644  973  907  0.24 0.28 0.26 0.27
 7 10:41:46  4    8   707  351  564  510  1205  643  978  907  0.41 0.45 0.42 0.44
 8 10:42:26  4  664   889  453  703  647  1149  612  926  863  0.23 0.26 0.24 0.25
 9 10:42:46  4    8   717  356  571  515  1189  634  965  893  0.40 0.44 0.41 0.42
10 10:43:26  4  664   874  444  689  635  1138  604  919  859  0.23 0.26 0.25 0.26
11 10:43:46  4    8   713  354  566  510  1196  638  968  897  0.40 0.45 0.42 0.43
12 10:45:47  4  664   871  443  681  628  1161  620  928  867  0.25 0.29 0.27 0.28
13 10:46:07  4    8   702  349  554  499  1222  652  984  911  0.43 0.46 0.44 0.45
14 10:48:08  4  664   837  424  652  601  1131  603  902  844  0.26 0.30 0.28 0.29
15 10:48:28  4    8   675  334  530  477  1193  636  958  889  0.43 0.47 0.45 0.46
16 10:51:29  4  664   797  402  618  569  1089  580  864  811  0.27 0.31 0.28 0.30
17 10:51:49  4    8   649  320  506  456  1159  617  928  861  0.44 0.48 0.45 0.47
18 10:54:49  4  664   770  388  594  548  1057  558  838  785  0.27 0.30 0.29 0.30
19 10:55:09  4    8   630  310  490  441  1133  602  904  840  0.44 0.49 0.46 0.47
