No   Time    G  PAR    F1   F2   F3   F4   Fm1  Fm2  Fm3  Fm4    Y1   Y2   Y3   Y4
 1 10:11:58  5    8  1113  530  999  907  1871  987 1658 1539  0.41 0.46 0.40 0.41
 2 10:12:20  5    8  1116  539 1013  922  1800  956 1629 1522  0.38 0.44 0.38 0.39
 3 10:13:00  5    8  1015  486  946  859  1585  841 1480 1374  0.36 0.42 0.36 0.37
 4 10:15:00  5    8   925  442  891  803  1486  804 1452 1335  0.38 0.45 0.39 0.40
 5 10:17:00  5    8   951  458  911  820  1668  910 1599 1459  0.43 0.50 0.43 0.44
 6 10:17:20  5  364  1122  558 1038  945  1586  862 1492 1374  0.29 0.35 0.30 0.31
 7 10:17:40  5    8   950  461  894  805  1587  867 1497 1388  0.40 0.47 0.40 0.42
 8 10:18:21  5  364  1006  500  935  853  1404  777 1362 1259  0.28 0.36 0.31 0.32
 9 10:18:41  5    8   876  420  828  742  1462  792 1387 1274  0.40 0.47 0.40 0.42
10 10:19:21  5  364   984  484  911  828  1393  762 1339 1229  0.29 0.36 0.32 0.33
11 10:19:41  5    8   867  412  814  727  1464  783 1369 1253  0.41 0.47 0.41 0.42
12 10:21:41  5  364   988  480  890  807  1453  782 1351 1234  0.32 0.39 0.34 0.35
13 10:22:01  5    8   865  408  793  708  1540  818 1399 1281  0.44 0.50 0.43 0.45
14 10:25:01  5  364   996  484  880  802  1501  806 1361 1253  0.34 0.40 0.35 0.36
15 10:25:22  5    8   862  406  774  692  1611  847 1425 1311  0.46 0.52 0.46 0.47
16 10:28:22  5  364   999  479  856  786  1538  805 1340 1245  0.35 0.40 0.36 0.37
17 10:28:42  5    8   862  401  751  674  1694  865 1428 1325  0.49 0.54 0.47 0.49
