No   Time    G  PAR    F1   F2   F3   F4   Fm1  Fm2  Fm3  Fm4    Y1   Y2   Y3   Y4
 1 17:29:49  5    8  1034  504  850  778  1873 1081 1700 1589  0.45 0.53 0.50 0.51
 2 17:30:11  5    8  1066  527  887  802  1873 1097 1714 1601  0.43 0.52 0.48 0.50
 3 17:30:51  5    8  1069  531  894  806  1873 1140 1767 1652  0.43 0.53 0.49 0.51
 4 17:32:51  5    8  1064  528  887  800  1873 1238 1855 1760  0.43 0.57 0.52 0.55
 5 17:34:52  5    8  1047  517  871  786  1873 1277 1868 1804  0.44 0.60 0.53 0.56
 6 17:37:52  5    8  1031  507  857  773  1873 1309 1871 1832  0.45 0.61 0.54 0.58
 7 17:38:12  5  264  1245  620 1013  934  1873 1034 1609 1531  0.34 0.40 0.37 0.39
 8 17:38:32  5    8   993  485  827  747  1873 1046 1634 1546  0.47 0.54 0.49 0.52
 9 17:39:12  5  264  1136  560  926  852  1849  965 1507 1444  0.39 0.42 0.39 0.41
10 17:39:32  5    8   974  476  811  733  1873 1016 1590 1507  0.48 0.53 0.49 0.51
11 17:40:12  5  264  1105  544  901  828  1836  957 1493 1427  0.40 0.43 0.40 0.42
12 17:40:32  5    8   970  474  806  729  1873 1009 1577 1496  0.48 0.53 0.49 0.51
13 17:42:32  5  264  1094  538  888  815  1851  967 1502 1438  0.41 0.44 0.41 0.43
14 17:42:52  5    8   958  468  793  716  1873 1013 1578 1497  0.49 0.54 0.50 0.52
15 17:44:53  5  264  1075  530  872  800  1849  968 1497 1436  0.42 0.45 0.42 0.44
16 17:45:13  5    8   942  461  779  703  1873 1007 1568 1488  0.50 0.54 0.50 0.53
18 17:48:13  5  264  1049  519  852  781  1815  954 1474 1414  0.42 0.46 0.42 0.45
19 17:48:33  5    8   923  454  764  689  1871 1002 1555 1474  0.51 0.55 0.51 0.53
